year,date_label,rank,team,points
2013,19 December,1,FRA,1877.32
2013,19 December,2,ESP,1876.40
2013,19 December,3,ARG,1874.81
2013,19 December,4,ENG,1825.97
2013,19 December,5,POR,1763.83
2013,19 December,6,BRA,1761.16
2013,19 December,7,NED,1757.87
2013,19 December,8,MAR,1755.87
2013,19 December,9,BEL,1734.71
2013,19 December,10,BRA,1102.00
2013,19 December,11,BEL,1098.00
2013,19 December,12,GRE,1055.00
2013,19 December,13,ENG,1041.00
2013,19 December,14,USA,1019.00
2013,19 December,15,CHI,1014.00
2013,19 December,16,CRO,971.00
2013,19 December,17,CIV,918.00
2013,19 December,18,UKR,907.00
2013,19 December,19,BIH,899.00
2013,19 December,20,FRA,893.00
2013,19 December,21,MEX,892.00
2013,19 December,22,RUS,870.00
2013,19 December,23,ECU,852.00
2013,19 December,24,GHA,849.00
2013,19 December,25,DEN,831.00
2013,19 December,26,ALG,800.00
2013,19 December,27,SWE,793.00
2013,19 December,28,CZE,766.00
2013,19 December,29,SVN,762.00
2013,19 December,30,SRB,752.00
2013,19 December,31,CRC,741.00
2013,19 December,32,ROU,734.00
2013,19 December,33,IRN,720.00
2013,19 December,34,SCO,717.00
2013,19 December,35,ARM,716.00
2013,19 December,36,VEN,711.00
2013,19 December,37,NGA,710.00
2013,19 December,38,PAN,705.00
2013,19 December,39,CPV,698.00
2013,19 December,39,PER,698.00
2013,19 December,41,EGY,695.00
2013,19 December,42,HON,690.00
2013,19 December,43,TUR,677.00
2013,19 December,44,HUN,668.00
2013,19 December,45,MLI,664.00
2013,19 December,46,AUT,648.00
2013,19 December,47,JPN,638.00
2013,19 December,48,TUN,632.00
2013,19 December,49,ISL,624.00
2013,19 December,50,CMR,615.00
2013,19 December,51,PAR,600.00
2013,19 December,52,MNE,594.00
2013,19 December,53,BFA,591.00
2013,19 December,54,KOR,577.00
2013,19 December,54,NOR,577.00
2013,19 December,56,WAL,574.00
2013,19 December,57,ALB,571.00
2013,19 December,58,AUS,565.00
2013,19 December,59,LBY,558.00
2013,19 December,60,SVK,557.00
2013,19 December,61,GUI,555.00
2013,19 December,62,RSA,554.00
2013,19 December,63,ISR,548.00
2013,19 December,64,FIN,539.00
2013,19 December,65,SEN,536.00
2013,19 December,65,JOR,536.00
2013,19 December,67,IRL,528.00
2013,19 December,68,UZB,526.00
2013,19 December,69,ZAM,523.00
2013,19 December,70,BOL,519.00
2013,19 December,71,UAE,507.00
2013,19 December,72,TOG,504.00
2013,19 December,73,MAR,490.00
2013,19 December,74,BUL,486.00
2013,19 December,75,SLE,471.00
2013,19 December,76,POL,461.00
2013,19 December,77,GAB,453.00
2013,19 December,78,TRI,441.00
2013,19 December,79,HAI,440.00
2013,19 December,80,JAM,439.00
2013,19 December,81,BLR,431.00
2013,19 December,82,COD,427.00
2013,19 December,83,MKD,425.00
2013,19 December,84,CGO,421.00
2013,19 December,85,OMA,408.00
2013,19 December,86,UGA,402.00
2013,19 December,87,KSA,391.00
2013,19 December,88,ANG,384.00
2013,19 December,89,NIR,381.00
2013,19 December,90,NZL,378.00
2013,19 December,90,SLV,378.00
2013,19 December,92,CHN,376.00
2013,19 December,93,ETH,374.00
2013,19 December,94,AZE,363.00
2013,19 December,94,EST,363.00
2013,19 December,96,MDA,359.00
2013,19 December,97,BOT,357.00
2013,19 December,98,LBR,354.00
2013,19 December,99,BEN,342.00
2013,19 December,100,CUB,334.00
2013,19 December,101,GEO,330.00
2013,19 December,102,LTU,326.00
2013,19 December,103,QAT,325.00
2013,19 December,104,NIG,318.00
2013,19 December,105,KUW,315.00
2013,19 December,106,CTA,310.00
2013,19 December,107,ZIM,299.00
2013,19 December,108,EQG,294.00
2013,19 December,109,KEN,293.00
2013,19 December,110,IRQ,292.00
2013,19 December,110,BHR,292.00
2013,19 December,112,CAN,291.00
2013,19 December,113,GUA,287.00
2013,19 December,114,TJK,286.00
2013,19 December,115,DOM,282.00
2013,19 December,116,MWI,272.00
2013,19 December,116,LVA,272.00
2013,19 December,118,MOZ,264.00
2013,19 December,119,SDN,259.00
2013,19 December,120,TAN,256.00
2013,19 December,121,NCL,249.00
2013,19 December,121,LIB,249.00
2013,19 December,123,LUX,243.00
2013,19 December,124,BDI,239.00
2013,19 December,125,NAM,237.00
2013,19 December,126,CYP,229.00
2013,19 December,127,PHI,219.00
2013,19 December,128,KAZ,216.00
2013,19 December,129,SYR,207.00
2013,19 December,130,MYA,204.00
2013,19 December,131,GAM,202.00
2013,19 December,132,MLT,198.00
2013,19 December,133,RWA,197.00
2013,19 December,133,SUR,197.00
2013,19 December,135,TKM,195.00
2013,19 December,136,GRN,194.00
2013,19 December,137,PLE,192.00
2013,19 December,138,LES,187.00
2013,19 December,138,PRK,187.00
2013,19 December,140,AFG,184.00
2013,19 December,140,HKG,184.00
2013,19 December,142,MTN,180.00
2013,19 December,143,TAH,179.00
2013,19 December,144,VIE,167.00
2013,19 December,145,ATG,164.00
2013,19 December,146,THA,162.00
2013,19 December,147,LCA,155.00
2013,19 December,147,KGZ,155.00
2013,19 December,149,SKN,150.00
2013,19 December,150,GUY,149.00
2013,19 December,150,SGP,149.00
2013,19 December,152,LAO,144.00
2013,19 December,153,VIN,142.00
2013,19 December,154,LIE,141.00
2013,19 December,154,PUR,141.00
2013,19 December,154,MAS,141.00
2013,19 December,154,IND,141.00
2013,19 December,158,STP,139.00
2013,19 December,159,BLZ,136.00
2013,19 December,160,NCA,130.00
2013,19 December,161,GUM,123.00
2013,19 December,161,IDN,123.00
2013,19 December,163,MDV,120.00
2013,19 December,164,CHA,116.00
2013,19 December,164,BAN,116.00
2013,19 December,166,BRB,101.00
2013,19 December,167,TPE,95.00
2013,19 December,167,DMA,95.00
2013,19 December,169,SRI,90.00
2013,19 December,170,ARU,87.00
2013,19 December,170,FRO,87.00
2013,19 December,172,SOL,86.00
2013,19 December,172,NEP,86.00
2013,19 December,172,PAK,86.00
2013,19 December,175,BER,83.00
2013,19 December,176,SEY,67.00
2013,19 December,177,MRI,66.00
2013,19 December,178,CUW,65.00
2013,19 December,179,YEM,54.00
2013,19 December,180,VAN,53.00
2013,19 December,181,MNG,49.00
2013,19 December,182,FIJ,47.00
2013,19 December,183,SAM,45.00
2013,19 December,184,GNB,42.00
2013,19 December,185,BAH,40.00
2013,19 December,186,SWZ,37.00
2013,19 December,187,MAD,33.00
2013,19 December,187,MSR,33.00
2013,19 December,189,CAM,28.00
2013,19 December,190,BRU,26.00
2013,19 December,190,TLS,26.00
2013,19 December,190,TGA,26.00
2013,19 December,193,VIR,23.00
2013,19 December,194,CAY,21.00
2013,19 December,194,PNG,21.00
2013,19 December,196,VGB,18.00
2013,19 December,196,ASA,18.00
2013,19 December,198,COM,17.00
2013,19 December,198,AND,17.00
2013,19 December,200,ERI,11.00
2013,19 December,201,SSD,10.00
2013,19 December,201,MAC,10.00
2013,19 December,203,SOM,8.00
2013,19 December,204,DJI,6.00
2013,19 December,205,COK,5.00
2013,19 December,206,AIA,3.00
2013,19 December,207,BHU,0.00
2013,19 December,207,SMR,0.00
2013,19 December,207,TCA,0.00
2013,28 November,1,ESP,1507.00
2013,28 November,2,GER,1318.00
2013,28 November,3,ARG,1251.00
2013,28 November,4,COL,1200.00
2013,28 November,5,POR,1172.00
2013,28 November,6,URU,1132.00
2013,28 November,7,ITA,1120.00
2013,28 November,8,SUI,1113.00
2013,28 November,9,NED,1106.00
2013,28 November,10,BRA,1102.00
2013,28 November,11,BEL,1098.00
2013,28 November,12,GRE,1055.00
2013,28 November,13,ENG,1041.00
2013,28 November,14,USA,1019.00
2013,28 November,15,CHI,1014.00
2013,28 November,16,CRO,971.00
2013,28 November,17,CIV,918.00
2013,28 November,18,UKR,907.00
2013,28 November,19,BIH,899.00
2013,28 November,20,FRA,893.00
2013,28 November,21,MEX,892.00
2013,28 November,22,RUS,870.00
2013,28 November,23,ECU,852.00
2013,28 November,24,GHA,849.00
2013,28 November,25,DEN,831.00
2013,28 November,26,ALG,800.00
2013,28 November,27,SWE,793.00
2013,28 November,28,CZE,766.00
2013,28 November,29,SVN,762.00
2013,28 November,30,SRB,752.00
2013,28 November,31,CRC,741.00
2013,28 November,32,ROU,734.00
2013,28 November,33,IRN,720.00
2013,28 November,34,SCO,717.00
2013,28 November,35,ARM,716.00
2013,28 November,36,VEN,711.00
2013,28 November,37,NGA,710.00
2013,28 November,38,PAN,705.00
2013,28 November,39,CPV,698.00
2013,28 November,39,PER,698.00
2013,28 November,41,EGY,695.00
2013,28 November,42,HON,690.00
2013,28 November,43,TUR,677.00
2013,28 November,44,HUN,668.00
2013,28 November,45,MLI,664.00
2013,28 November,46,AUT,648.00
2013,28 November,47,JPN,638.00
2013,28 November,48,TUN,632.00
2013,28 November,49,ISL,624.00
2013,28 November,50,CMR,615.00
2013,28 November,51,PAR,600.00
2013,28 November,52,MNE,594.00
2013,28 November,53,BFA,591.00
2013,28 November,54,KOR,577.00
2013,28 November,54,NOR,577.00
2013,28 November,56,WAL,574.00
2013,28 November,57,ALB,571.00
2013,28 November,58,AUS,565.00
2013,28 November,59,LBY,558.00
2013,28 November,60,SVK,557.00
2013,28 November,61,GUI,555.00
2013,28 November,62,RSA,554.00
2013,28 November,63,ISR,548.00
2013,28 November,64,FIN,539.00
2013,28 November,65,SEN,536.00
2013,28 November,65,JOR,536.00
2013,28 November,67,IRL,528.00
2013,28 November,68,UZB,526.00
2013,28 November,69,ZAM,523.00
2013,28 November,70,BOL,519.00
2013,28 November,71,UAE,508.00
2013,28 November,72,ZAM,505.00
2013,28 November,73,HAI,495.00
2013,28 November,74,SLE,493.00
2013,28 November,75,MAR,490.00
2013,28 November,76,BUL,486.00
2013,28 November,77,TOG,480.00
2013,28 November,78,POL,473.00
2013,28 November,79,TRI,458.00
2013,28 November,80,GAB,453.00
2013,28 November,81,JAM,441.00
2013,28 November,82,BLR,431.00
2013,28 November,83,COD,427.00
2013,28 November,84,MKD,421.00
2013,28 November,84,CGO,421.00
2013,28 November,86,UGA,417.00
2013,28 November,87,OMA,389.00
2013,28 November,88,DOM,384.00
2013,28 November,89,ANG,382.00
2013,28 November,90,NIR,381.00
2013,28 November,91,NZL,378.00
2013,28 November,91,SLV,378.00
2013,28 November,93,CHN,376.00
2013,28 November,93,ETH,376.00
2013,28 November,95,AZE,363.00
2013,28 November,96,EST,360.00
2013,28 November,97,MDA,359.00
2013,28 November,98,BOT,357.00
2013,28 November,99,KSA,352.00
2013,28 November,100,BEN,342.00
2013,28 November,101,GEO,330.00
2013,28 November,102,LTU,326.00
2013,28 November,103,QAT,320.00
2013,28 November,104,NIG,318.00
2013,28 November,105,LBR,312.00
2013,28 November,106,ZIM,310.00
2013,28 November,106,CTA,310.00
2013,28 November,106,KUW,310.00
2013,28 November,109,ATG,299.00
2013,28 November,109,IRQ,299.00
2013,28 November,111,EQG,294.00
2013,28 November,112,BDI,293.00
2013,28 November,113,PRK,292.00
2013,28 November,114,CAN,291.00
2013,28 November,115,GUA,287.00
2013,28 November,116,TJK,286.00
2013,28 November,117,KEN,281.00
2013,28 November,118,BHR,275.00
2013,28 November,119,LVA,272.00
2013,28 November,120,MOZ,271.00
2013,28 November,121,MWI,270.00
2013,28 November,122,NCL,249.00
2013,28 November,123,LIB,248.00
2013,28 November,124,LUX,243.00
2013,28 November,124,TAN,243.00
2013,28 November,126,NAM,240.00
2013,28 November,127,CYP,229.00
2013,28 November,127,RWA,229.00
2013,28 November,129,AFG,226.00
2013,28 November,130,GRN,218.00
2013,28 November,130,SDN,218.00
2013,28 November,132,KAZ,216.00
2013,28 November,133,PHI,204.00
2013,28 November,134,GAM,202.00
2013,28 November,135,SYR,200.00
2013,28 November,136,MLT,198.00
2013,28 November,137,TKM,195.00
2013,28 November,138,LES,187.00
2013,28 November,139,SUR,186.00
2013,28 November,140,MYA,184.00
2013,28 November,141,TAH,179.00
2013,28 November,142,THA,173.00
2013,28 November,142,PLE,173.00
2013,28 November,144,MTN,158.00
2013,28 November,144,HKG,158.00
2013,28 November,146,KGZ,155.00
2013,28 November,147,SKN,150.00
2013,28 November,148,IND,149.00
2013,28 November,149,MDV,147.00
2013,28 November,150,GUY,146.00
2013,28 November,151,VIN,142.00
2013,28 November,152,LIE,141.00
2013,28 November,152,PUR,141.00
2013,28 November,154,SGP,140.00
2013,28 November,155,STP,139.00
2013,28 November,156,BAN,137.00
2013,28 November,157,BLZ,136.00
2013,28 November,158,MAS,132.00
2013,28 November,158,VIE,132.00
2013,28 November,160,NCA,130.00
2013,28 November,161,LCA,129.00
2013,28 November,162,IDN,122.00
2013,28 November,163,LAO,120.00
2013,28 November,164,CHA,116.00
2013,28 November,165,NEP,113.00
2013,28 November,166,SRI,108.00
2013,28 November,167,PAK,107.00
2013,28 November,168,BRB,101.00
2013,28 November,169,GUM,93.00
2013,28 November,170,FRO,87.00
2013,28 November,171,SOL,86.00
2013,28 November,172,BER,83.00
2013,28 November,173,ARU,82.00
2013,28 November,174,TPE,81.00
2013,28 November,175,CUW,67.00
2013,28 November,175,DMA,67.00
2013,28 November,177,YEM,64.00
2013,28 November,178,MRI,62.00
2013,28 November,179,VAN,53.00
2013,28 November,180,MNG,49.00
2013,28 November,181,FIJ,47.00
2013,28 November,182,SAM,45.00
2013,28 November,183,GNB,42.00
2013,28 November,184,BAH,40.00
2013,28 November,185,SWZ,37.00
2013,28 November,186,MAD,33.00
2013,28 November,186,MSR,33.00
2013,28 November,188,CAM,28.00
2013,28 November,189,BRU,26.00
2013,28 November,189,TLS,26.00
2013,28 November,189,TGA,26.00
2013,28 November,192,VIR,23.00
2013,28 November,193,COM,22.00
2013,28 November,194,CAY,21.00
2013,28 November,194,PNG,21.00
2013,28 November,196,VGB,18.00
2013,28 November,196,ASA,18.00
2013,28 November,198,AND,17.00
2013,28 November,199,ERI,16.00
2013,28 November,200,SEY,15.00
2013,28 November,201,SSD,10.00
2013,28 November,201,MAC,10.00
2013,28 November,203,DJI,8.00
2013,28 November,204,SOM,6.00
2013,28 November,205,COK,5.00
2013,28 November,206,AIA,3.00
2013,28 November,207,BHU,0.00
2013,28 November,207,SMR,0.00
2013,28 November,207,TCA,0.00
2013,17 October,1,ESP,1513.00
2013,17 October,2,GER,1311.00
2013,17 October,3,ARG,1266.00
2013,17 October,4,COL,1178.00
2013,17 October,5,BEL,1175.00
2013,17 October,6,URU,1164.00
2013,17 October,7,SUI,1138.00
2013,17 October,8,NED,1136.00
2013,17 October,8,ITA,1136.00
2013,17 October,10,ENG,1080.00
2013,17 October,11,BRA,1078.00
2013,17 October,12,CHI,1051.00
2013,17 October,13,USA,1040.00
2013,17 October,14,POR,1036.00
2013,17 October,15,GRE,983.00
2013,17 October,16,BIH,925.00
2013,17 October,17,CIV,917.00
2013,17 October,18,CRO,901.00
2013,17 October,19,RUS,874.00
2013,17 October,20,UKR,871.00
2013,17 October,21,FRA,870.00
2013,17 October,22,ECU,862.00
2013,17 October,23,GHA,860.00
2013,17 October,24,MEX,854.00
2013,17 October,25,SWE,850.00
2013,17 October,26,DEN,824.00
2013,17 October,27,CZE,783.00
2013,17 October,28,SRB,778.00
2013,17 October,29,ROU,767.00
2013,17 October,30,SVN,752.00
2013,17 October,31,CRC,744.00
2013,17 October,32,ALG,741.00
2013,17 October,33,NGA,724.00
2013,17 October,34,HON,720.00
2013,17 October,35,SCO,715.00
2013,17 October,36,PAN,702.00
2013,17 October,37,VEN,692.00
2013,17 October,38,ARM,687.00
2013,17 October,39,PER,686.00
2013,17 October,40,TUR,670.00
2013,17 October,41,MLI,668.00
2013,17 October,42,CPV,662.00
2013,17 October,43,HUN,636.00
2013,17 October,44,JPN,634.00
2013,17 October,44,WAL,634.00
2013,17 October,46,ISL,633.00
2013,17 October,47,NOR,632.00
2013,17 October,47,TUN,632.00
2013,17 October,49,PAR,613.00
2013,17 October,49,IRN,613.00
2013,17 October,51,EGY,610.00
2013,17 October,52,BFA,598.00
2013,17 October,53,AUT,596.00
2013,17 October,54,MNE,584.00
2013,17 October,55,UZB,582.00
2013,17 October,56,KOR,569.00
2013,17 October,57,AUS,564.00
2013,17 October,58,ALB,563.00
2013,17 October,59,CMR,554.00
2013,17 October,60,IRL,550.00
2013,17 October,61,LBY,540.00
2013,17 October,61,RSA,540.00
2013,17 October,63,FIN,538.00
2013,17 October,64,SEN,530.00
2013,17 October,65,SVK,528.00
2013,17 October,66,ISR,515.00
2013,17 October,67,ZAM,513.00
2013,17 October,68,GUI,512.00
2013,17 October,69,POL,503.00
2013,17 October,70,JOR,502.00
2013,17 October,71,UAE,496.00
2013,17 October,71,BOL,496.00
2013,17 October,73,SLE,493.00
2013,17 October,74,CUB,492.00
2013,17 October,75,TOG,488.00
2013,17 October,76,BUL,487.00
2013,17 October,77,MAR,478.00
2013,17 October,78,DOM,474.00
2013,17 October,79,NZL,470.00
2013,17 October,80,HAI,464.00
2013,17 October,81,TRI,457.00
2013,17 October,82,JAM,456.00
2013,17 October,83,BLR,441.00
2013,17 October,84,GAB,438.00
2013,17 October,85,UGA,431.00
2013,17 October,86,MKD,430.00
2013,17 October,87,COD,411.00
2013,17 October,88,AZE,407.00
2013,17 October,89,SLV,404.00
2013,17 October,90,NIR,399.00
2013,17 October,91,CGO,394.00
2013,17 October,92,OMA,381.00
2013,17 October,93,ANG,380.00
2013,17 October,94,BEN,378.00
2013,17 October,95,ETH,376.00
2013,17 October,96,MDA,369.00
2013,17 October,97,CHN,365.00
2013,17 October,98,BOT,354.00
2013,17 October,99,EST,351.00
2013,17 October,100,GEO,350.00
2013,17 October,101,KSA,338.00
2013,17 October,102,ZIM,328.00
2013,17 October,103,LTU,323.00
2013,17 October,103,IRQ,323.00
2013,17 October,105,QAT,313.00
2013,17 October,106,LBR,312.00
2013,17 October,107,PRK,310.00
2013,17 October,107,CTA,310.00
2013,17 October,109,KUW,307.00
2013,17 October,110,NIG,306.00
2013,17 October,111,CAN,296.00
2013,17 October,112,GUA,294.00
2013,17 October,112,ATG,294.00
2013,17 October,114,GUY,286.00
2013,17 October,115,MOZ,282.00
2013,17 October,116,TJK,280.00
2013,17 October,117,LVA,277.00
2013,17 October,118,KEN,274.00
2013,17 October,119,EQG,273.00
2013,17 October,120,VIN,271.00
2013,17 October,121,LIB,267.00
2013,17 October,121,BDI,267.00
2013,17 October,123,BHR,266.00
2013,17 October,124,MWI,263.00
2013,17 October,125,TKM,254.00
2013,17 October,126,NCL,249.00
2013,17 October,127,LUX,247.00
2013,17 October,128,NAM,246.00
2013,17 October,129,RWA,242.00
2013,17 October,129,TAN,242.00
2013,17 October,131,SUR,237.00
2013,17 October,132,GRN,233.00
2013,17 October,133,AFG,223.00
2013,17 October,134,CYP,219.00
2013,17 October,135,KAZ,216.00
2013,17 October,136,SDN,215.00
2013,17 October,137,PHI,213.00
2013,17 October,138,LCA,203.00
2013,17 October,139,GAM,202.00
2013,17 October,140,MLT,192.00
2013,17 October,141,SYR,183.00
2013,17 October,141,LES,183.00
2013,17 October,143,THA,181.00
2013,17 October,144,TAH,179.00
2013,17 October,145,BLZ,178.00
2013,17 October,146,PLE,175.00
2013,17 October,147,SKN,172.00
2013,17 October,148,HKG,171.00
2013,17 October,149,MYA,169.00
2013,17 October,150,KGZ,161.00
2013,17 October,151,VIE,159.00
2013,17 October,152,MTN,158.00
2013,17 October,153,NCA,155.00
2013,17 October,154,IND,151.00
2013,17 October,155,SGP,149.00
2013,17 October,156,CHA,148.00
2013,17 October,157,MDV,147.00
2013,17 October,158,LIE,141.00
2013,17 October,159,PUR,139.00
2013,17 October,160,MAS,137.00
2013,17 October,161,BER,127.00
2013,17 October,162,IDN,120.00
2013,17 October,162,STP,120.00
2013,17 October,162,BAN,120.00
2013,17 October,165,NEP,119.00
2013,17 October,166,SRI,108.00
2013,17 October,167,LAO,105.00
2013,17 October,168,PAK,102.00
2013,17 October,169,DMA,89.00
2013,17 October,170,CUW,88.00
2013,17 October,171,SOL,86.00
2013,17 October,171,GUM,86.00
2013,17 October,173,BRB,82.00
2013,17 October,173,ARU,82.00
2013,17 October,175,FRO,81.00
2013,17 October,176,TPE,79.00
2013,17 October,177,YEM,72.00
2013,17 October,178,SAM,62.00
2013,17 October,178,MRI,62.00
2013,17 October,180,MAD,57.00
2013,17 October,181,GNB,56.00
2013,17 October,182,VAN,53.00
2013,17 October,183,SWZ,49.00
2013,17 October,183,MNG,49.00
2013,17 October,185,FIJ,47.00
2013,17 October,186,ASA,43.00
2013,17 October,186,TGA,43.00
2013,17 October,188,BAH,40.00
2013,17 October,189,MSR,33.00
2013,17 October,190,COM,32.00
2013,17 October,191,VIR,30.00
2013,17 October,192,CAY,29.00
2013,17 October,193,BRU,26.00
2013,17 October,193,TLS,26.00
2013,17 October,195,ERI,24.00
2013,17 October,196,SEY,23.00
2013,17 October,197,PNG,21.00
2013,17 October,198,CAM,20.00
2013,17 October,199,VGB,18.00
2013,17 October,200,AND,16.00
2013,17 October,201,SOM,14.00
2013,17 October,202,DJI,11.00
2013,17 October,202,COK,11.00
2013,17 October,204,SSD,10.00
2013,17 October,204,MAC,10.00
2013,17 October,206,AIA,3.00
2013,17 October,207,BHU,0.00
2013,17 October,207,SMR,0.00
2013,17 October,207,TCA,0.00
2013,12 September,1,ESP,1514.00
2013,12 September,2,ARG,1263.00
2013,12 September,3,GER,1261.00
2013,12 September,4,ITA,1199.00
2013,12 September,5,COL,1180.00
2013,12 September,6,BEL,1159.00
2013,12 September,7,URU,1126.00
2013,12 September,8,BRA,1067.00
2013,12 September,9,NED,1058.00
2013,12 September,10,CRO,1051.00
2013,12 September,11,POR,1029.00
2013,12 September,12,GRE,1016.00
2013,12 September,13,USA,996.00
2013,12 September,14,SUI,992.00
2013,12 September,15,RUS,968.00
2013,12 September,16,CHI,967.00
2013,12 September,17,ENG,947.00
2013,12 September,18,BIH,934.00
2013,12 September,19,CIV,902.00
2013,12 September,20,ECU,851.00
2013,12 September,21,MEX,837.00
2013,12 September,22,SWE,836.00
2013,12 September,23,DEN,825.00
2013,12 September,24,GHA,815.00
2013,12 September,25,FRA,812.00
2013,12 September,26,UKR,799.00
2013,12 September,27,MNE,766.00
2013,12 September,28,ALG,762.00
2013,12 September,29,SVN,754.00
2013,12 September,30,HUN,744.00
2013,12 September,31,ROU,739.00
2013,12 September,32,CZE,738.00
2013,12 September,33,CRC,733.00
2013,12 September,34,PER,732.00
2013,12 September,35,PAN,727.00
2013,12 September,36,VEN,707.00
2013,12 September,36,NGA,707.00
2013,12 September,38,MLI,704.00
2013,12 September,39,NOR,699.00
2013,12 September,40,HON,680.00
2013,12 September,41,PAR,673.00
2013,12 September,42,JPN,671.00
2013,12 September,43,SRB,666.00
2013,12 September,44,CPV,660.00
2013,12 September,45,ALB,652.00
2013,12 September,46,TUN,643.00
2013,12 September,47,AUT,639.00
2013,12 September,48,IRN,633.00
2013,12 September,49,TUR,613.00
2013,12 September,50,EGY,611.00
2013,12 September,51,BFA,607.00
2013,12 September,52,WAL,606.00
2013,12 September,53,AUS,603.00
2013,12 September,54,ISL,599.00
2013,12 September,55,ARM,592.00
2013,12 September,56,FIN,591.00
2013,12 September,57,UZB,579.00
2013,12 September,58,KOR,574.00
2013,12 September,59,IRL,570.00
2013,12 September,60,SVK,562.00
2013,12 September,61,CMR,558.00
2013,12 September,62,BOL,555.00
2013,12 September,63,SCO,551.00
2013,12 September,64,BUL,549.00
2013,12 September,65,POL,539.00
2013,12 September,66,SEN,534.00
2013,12 September,67,NZL,529.00
2013,12 September,68,RSA,528.00
2013,12 September,69,ISR,522.00
2013,12 September,70,LBY,520.00
2013,12 September,71,ZAM,515.00
2013,12 September,72,SLE,497.00
2013,12 September,73,JOR,494.00
2013,12 September,74,MAR,492.00
2013,12 September,75,MKD,490.00
2013,12 September,76,GUI,487.00
2013,12 September,77,TOG,486.00
2013,12 September,78,HAI,471.00
2013,12 September,78,JAM,471.00
2013,12 September,80,BLR,458.00
2013,12 September,81,UGA,457.00
2013,12 September,82,UAE,456.00
2013,12 September,83,GAB,443.00
2013,12 September,84,CUB,438.00
2013,12 September,85,TRI,432.00
2013,12 September,86,NIR,431.00
2013,12 September,87,DOM,425.00
2013,12 September,88,EST,405.00
2013,12 September,89,ANG,400.00
2013,12 September,90,BEN,398.00
2013,12 September,91,COD,392.00
2013,12 September,92,CGO,388.00
2013,12 September,93,ETH,386.00
2013,12 September,93,SLV,386.00
2013,12 September,95,NCL,383.00
2013,12 September,96,OMA,382.00
2013,12 September,97,GEO,364.00
2013,12 September,98,EQG,363.00
2013,12 September,99,CHN,362.00
2013,12 September,100,GUA,335.00
2013,12 September,101,ZIM,333.00
2013,12 September,102,NIG,332.00
2013,12 September,103,CTA,331.00
2013,12 September,104,BOT,326.00
2013,12 September,105,IRQ,325.00
2013,12 September,106,CAN,324.00
2013,12 September,107,AZE,315.00
2013,12 September,108,QAT,309.00
2013,12 September,109,KUW,307.00
2013,12 September,109,KSA,307.00
2013,12 September,111,ATG,303.00
2013,12 September,112,LTU,299.00
2013,12 September,113,PRK,297.00
2013,12 September,114,LBR,295.00
2013,12 September,115,LVA,288.00
2013,12 September,116,MOZ,283.00
2013,12 September,117,TJK,281.00
2013,12 September,118,KEN,271.00
2013,12 September,119,GRN,268.00
2013,12 September,120,LIB,265.00
2013,12 September,121,BHR,264.00
2013,12 September,122,VIN,263.00
2013,12 September,122,MWI,263.00
2013,12 September,124,BDI,256.00
2013,12 September,125,TKM,254.00
2013,12 September,126,LUX,247.00
2013,12 September,127,NAM,239.00
2013,12 September,127,TAN,239.00
2013,12 September,129,MDA,237.00
2013,12 September,130,GUY,234.00
2013,12 September,131,RWA,233.00
2013,12 September,132,AFG,227.00
2013,12 September,132,KAZ,227.00
2013,12 September,134,CYP,225.00
2013,12 September,135,SUR,223.00
2013,12 September,136,GAM,222.00
2013,12 September,137,SKN,212.00
2013,12 September,138,LCA,210.00
2013,12 September,139,THA,206.00
2013,12 September,140,SDN,204.00
2013,12 September,141,PHI,200.00
2013,12 September,142,MLT,199.00
2013,12 September,143,SYR,192.00
2013,12 September,144,KGZ,186.00
2013,12 September,145,BLZ,184.00
2013,12 September,146,TAH,182.00
2013,12 September,147,LES,176.00
2013,12 September,148,HKG,174.00
2013,12 September,149,PLE,172.00
2013,12 September,150,MTN,168.00
2013,12 September,151,BRB,157.00
2013,12 September,152,MDV,146.00
2013,12 September,153,VIE,144.00
2013,12 September,153,NCA,144.00
2013,12 September,155,IND,143.00
2013,12 September,156,LIE,142.00
2013,12 September,157,BER,139.00
2013,12 September,158,CHA,138.00
2013,12 September,159,SGP,131.00
2013,12 September,160,PUR,129.00
2013,12 September,161,MAS,128.00
2013,12 September,162,MYA,124.00
2013,12 September,163,STP,120.00
2013,12 September,163,NEP,120.00
2013,12 September,165,ARU,114.00
2013,12 September,166,BAN,113.00
2013,12 September,167,DMA,112.00
2013,12 September,168,SRI,108.00
2013,12 September,169,SOL,105.00
2013,12 September,170,PAK,102.00
2013,12 September,170,IDN,102.00
2013,12 September,172,LAO,84.00
2013,12 September,173,YEM,80.00
2013,12 September,174,CUW,72.00
2013,12 September,175,TPE,70.00
2013,12 September,175,GUM,70.00
2013,12 September,177,SAM,62.00
2013,12 September,177,MRI,62.00
2013,12 September,179,MAD,57.00
2013,12 September,180,GNB,56.00
2013,12 September,181,VAN,53.00
2013,12 September,182,FRO,52.00
2013,12 September,182,BRU,52.00
2013,12 September,182,TLS,52.00
2013,12 September,185,MNG,49.00
2013,12 September,186,SWZ,48.00
2013,12 September,187,FIJ,47.00
2013,12 September,188,ASA,43.00
2013,12 September,188,TGA,43.00
2013,12 September,190,VIR,42.00
2013,12 September,191,BAH,40.00
2013,12 September,192,CAY,36.00
2013,12 September,193,COM,33.00
2013,12 September,193,MSR,33.00
